key,name,lat,long,5_mars,12_mars,19_mars,26_mars
Aix-Marseille,Académie d'Aix-Marseille,5.79377147861137,44.1051158658333,0,13,61,102
Amiens,Académie d'Amiens,2.80818218341117,49.641871046337,0,0,85,152
Besançon,Académie de Besançon,6.08849324284672,47.208651790052,22,38,70,88
Bordeaux,Académie de Bordeaux,-0.23118825632378,44.3551030645259,10,34,57,66
Normandie,Académie de Normandie,0.355051,49.230704,0,8,49,72
Clermont-Ferrand,Académie de Clermont-Ferrand,3.17736694134001,45.6543591668097,7,13,20,20
Corse,Académie de Corse,9.10499102760867,42.1526689752195,0,6,8,4
Créteil,Académie de Créteil,2.89779014987075,48.6420080318509,25,96,222,536
Dijon,Académie de Dijon,4.15040250683437,47.2470622897155,13,12,22,25
Grenoble,Académie de Grenoble,5.59539069034557,45.219434396839,44,64,59,100
Guyane,Académie de Guyane,-53.2376096400247,3.92514730808365,0,0,0,0
Guadeloupe,Académie de la Guadeloupe,-61.5490496714888,16.2030260258582,4,6,0,2
Martinique,Académie de la Martinique,-61.0153892682233,14.6511013082561,2,1,4,11
La Réunion,Académie de la Réunion,55.5348894210681,-21.135166180662,106,0,0,0
Lille,Académie de Lille,2.7114117961262,50.472522180792,0,9,160,180
Limoges,Académie de Limoges,1.71486662422887,45.7739302910871,11,20,26,45
Lyon,Académie de Lyon,4.77333074036202,45.9162432402801,35,57,24,177
Montpellier,Académie de Montpellier,3.22916981654209,43.5937479098098,1,71,76,102
Nancy-Metz,Académie de Nancy-Metz,6.14263863137839,48.7624238569466,0,24,259,303
Nantes,Académie de Nantes,-0.816650218233641,47.4776920780247,0,11,77,102
Nice,Académie de Nice,6.60873271315866,43.6470672723714,0,4,27,58
Paris,Académie de Paris,2.34003627607587,48.8538632452452,5,34,112,160
Poitiers,Académie de Poitiers,-0.0822200600505522,46.1621293991868,19,23,52,53
Reims,Académie de Reims,4.54119499486831,48.7357793078199,0,0,29,70
Rennes,Académie de Rennes,-2.83652742741012,48.1776012729202,0,10,57,108
Strasbourg,Académie de Strasbourg,7.4370498166142,48.3330432950351,0,3,53,113
Toulouse,Académie de Toulouse,1.48655378707031,43.7680719943644,20,100,119,179
Versailles,Académie de Versailles,2.05135764648888,48.784192820643,105,177,224,315
Orléans-Tours,Académie d'Orléans-Tours,1.68446343130384,47.484470039446,0,0,44,73